"date","wm_yr_wk","wday","month","year","d","evento","Vendas_do_dia","week_group"
"2011-01-29",11101,1,1,2011,"d_1",0,4337,0
"2011-01-30",11101,2,1,2011,"d_2",0,4155,0
"2011-01-31",11101,3,1,2011,"d_3",0,2816,1
"2011-02-01",11101,4,2,2011,"d_4",0,3051,1
"2011-02-02",11101,5,2,2011,"d_5",0,2630,1
"2011-02-03",11101,6,2,2011,"d_6",0,3276,1
"2011-02-04",11101,7,2,2011,"d_7",0,3450,1
"2011-02-05",11102,1,2,2011,"d_8",0,5437,0
"2011-02-06",11102,2,2,2011,"d_9",1,4340,0
"2011-02-07",11102,3,2,2011,"d_10",0,3157,1
"2011-02-08",11102,4,2,2011,"d_11",0,2995,1
"2011-02-09",11102,5,2,2011,"d_12",0,2710,1
"2011-02-10",11102,6,2,2011,"d_13",0,2928,1
"2011-02-11",11102,7,2,2011,"d_14",0,3078,1
"2011-02-12",11103,1,2,2011,"d_15",0,4316,0
"2011-02-13",11103,2,2,2011,"d_16",0,4354,0
"2011-02-14",11103,3,2,2011,"d_17",1,2757,1
"2011-02-15",11103,4,2,2011,"d_18",0,2430,1
"2011-02-16",11103,5,2,2011,"d_19",0,2272,1
"2011-02-17",11103,6,2,2011,"d_20",0,2009,1
"2011-02-18",11103,7,2,2011,"d_21",0,3015,1
"2011-02-19",11104,1,2,2011,"d_22",0,4553,0
"2011-02-20",11104,2,2,2011,"d_23",0,3966,0
"2011-02-21",11104,3,2,2011,"d_24",1,3264,1
"2011-02-22",11104,4,2,2011,"d_25",0,2441,1
"2011-02-23",11104,5,2,2011,"d_26",0,2377,1
"2011-02-24",11104,6,2,2011,"d_27",0,2414,1
"2011-02-25",11104,7,2,2011,"d_28",0,2701,1
"2011-02-26",11105,1,2,2011,"d_29",0,3719,0
"2011-02-27",11105,2,2,2011,"d_30",0,3548,0
"2011-02-28",11105,3,2,2011,"d_31",0,2246,1
"2011-03-01",11105,4,3,2011,"d_32",0,2549,1
"2011-03-02",11105,5,3,2011,"d_33",0,2559,1
"2011-03-03",11105,6,3,2011,"d_34",0,2568,1
"2011-03-04",11105,7,3,2011,"d_35",0,2978,1
"2011-03-05",11106,1,3,2011,"d_36",0,4096,0
"2011-03-06",11106,2,3,2011,"d_37",0,4832,0
"2011-03-07",11106,3,3,2011,"d_38",0,3138,1
"2011-03-08",11106,4,3,2011,"d_39",0,2997,1
"2011-03-09",11106,5,3,2011,"d_40",1,2772,1
"2011-03-10",11106,6,3,2011,"d_41",0,2650,1
"2011-03-11",11106,7,3,2011,"d_42",0,3249,1
"2011-03-12",11107,1,3,2011,"d_43",0,4114,0
"2011-03-13",11107,2,3,2011,"d_44",0,4094,0
"2011-03-14",11107,3,3,2011,"d_45",0,2880,1
"2011-03-15",11107,4,3,2011,"d_46",0,2384,1
"2011-03-16",11107,5,3,2011,"d_47",1,2522,1
"2011-03-17",11107,6,3,2011,"d_48",1,2435,1
"2011-03-18",11107,7,3,2011,"d_49",0,2744,1
"2011-03-19",11108,1,3,2011,"d_50",0,4142,0
"2011-03-20",11108,2,3,2011,"d_51",1,3904,0
"2011-03-21",11108,3,3,2011,"d_52",0,2635,1
"2011-03-22",11108,4,3,2011,"d_53",0,2458,1
"2011-03-23",11108,5,3,2011,"d_54",0,2079,1
"2011-03-24",11108,6,3,2011,"d_55",0,2281,1
"2011-03-25",11108,7,3,2011,"d_56",0,2740,1
"2011-03-26",11109,1,3,2011,"d_57",0,3899,0
"2011-03-27",11109,2,3,2011,"d_58",0,3999,0
"2011-03-28",11109,3,3,2011,"d_59",0,2780,1
"2011-03-29",11109,4,3,2011,"d_60",0,2167,1
"2011-03-30",11109,5,3,2011,"d_61",0,2247,1
"2011-03-31",11109,6,3,2011,"d_62",0,2576,1
"2011-04-01",11109,7,4,2011,"d_63",0,3500,1
"2011-04-02",11110,1,4,2011,"d_64",0,4325,0
"2011-04-03",11110,2,4,2011,"d_65",0,4396,0
"2011-04-04",11110,3,4,2011,"d_66",0,3642,1
"2011-04-05",11110,4,4,2011,"d_67",0,2784,1
"2011-04-06",11110,5,4,2011,"d_68",0,2602,1
"2011-04-07",11110,6,4,2011,"d_69",0,2976,1
"2011-04-08",11110,7,4,2011,"d_70",0,3294,1
"2011-04-09",11111,1,4,2011,"d_71",0,4083,0
"2011-04-10",11111,2,4,2011,"d_72",0,4194,0
"2011-04-11",11111,3,4,2011,"d_73",0,3015,1
"2011-04-12",11111,4,4,2011,"d_74",0,2512,1
"2011-04-13",11111,5,4,2011,"d_75",0,2217,1
"2011-04-14",11111,6,4,2011,"d_76",0,2520,1
"2011-04-15",11111,7,4,2011,"d_77",0,2867,1
"2011-04-16",11112,1,4,2011,"d_78",0,3571,0
"2011-04-17",11112,2,4,2011,"d_79",0,4084,0
"2011-04-18",11112,3,4,2011,"d_80",0,2760,1
"2011-04-19",11112,4,4,2011,"d_81",0,2234,1
"2011-04-20",11112,5,4,2011,"d_82",0,2261,1
"2011-04-21",11112,6,4,2011,"d_83",0,2487,1
"2011-04-22",11112,7,4,2011,"d_84",0,3155,1
"2011-04-23",11113,1,4,2011,"d_85",0,4187,0
"2011-04-24",11113,2,4,2011,"d_86",1,2946,0
"2011-04-25",11113,3,4,2011,"d_87",0,2439,1
"2011-04-26",11113,4,4,2011,"d_88",1,2085,1
"2011-04-27",11113,5,4,2011,"d_89",0,2096,1
"2011-04-28",11113,6,4,2011,"d_90",0,2086,1
"2011-04-29",11113,7,4,2011,"d_91",0,2675,1
"2011-04-30",11114,1,4,2011,"d_92",0,3560,0
"2011-05-01",11114,2,5,2011,"d_93",0,3668,0
"2011-05-02",11114,3,5,2011,"d_94",0,2911,1
"2011-05-03",11114,4,5,2011,"d_95",0,2839,1
"2011-05-04",11114,5,5,2011,"d_96",0,2610,1
"2011-05-05",11114,6,5,2011,"d_97",1,2384,1
"2011-05-06",11114,7,5,2011,"d_98",0,3125,1
"2011-05-07",11115,1,5,2011,"d_99",0,3816,0
"2011-05-08",11115,2,5,2011,"d_100",1,3033,0
"2011-05-09",11115,3,5,2011,"d_101",0,3069,1
"2011-05-10",11115,4,5,2011,"d_102",0,2985,1
"2011-05-11",11115,5,5,2011,"d_103",0,2629,1
"2011-05-12",11115,6,5,2011,"d_104",0,2277,1
"2011-05-13",11115,7,5,2011,"d_105",0,3008,1
"2011-05-14",11116,1,5,2011,"d_106",0,3754,0
"2011-05-15",11116,2,5,2011,"d_107",0,3822,0
"2011-05-16",11116,3,5,2011,"d_108",0,2582,1
"2011-05-17",11116,4,5,2011,"d_109",0,2144,1
"2011-05-18",11116,5,5,2011,"d_110",0,2174,1
"2011-05-19",11116,6,5,2011,"d_111",0,2168,1
"2011-05-20",11116,7,5,2011,"d_112",0,2664,1
"2011-05-21",11117,1,5,2011,"d_113",0,3463,0
"2011-05-22",11117,2,5,2011,"d_114",0,3597,0
"2011-05-23",11117,3,5,2011,"d_115",0,2461,1
"2011-05-24",11117,4,5,2011,"d_116",0,2160,1
"2011-05-25",11117,5,5,2011,"d_117",0,2251,1
"2011-05-26",11117,6,5,2011,"d_118",0,2296,1
"2011-05-27",11117,7,5,2011,"d_119",0,2642,1
"2011-05-28",11118,1,5,2011,"d_120",0,3214,0
"2011-05-29",11118,2,5,2011,"d_121",0,3202,0
"2011-05-30",11118,3,5,2011,"d_122",1,2884,1
"2011-05-31",11118,4,5,2011,"d_123",1,2156,1
"2011-06-01",11118,5,6,2011,"d_124",0,2529,1
"2011-06-02",11118,6,6,2011,"d_125",0,2652,1
"2011-06-03",11118,7,6,2011,"d_126",0,3200,1
"2011-06-04",11119,1,6,2011,"d_127",0,3942,0
"2011-06-05",11119,2,6,2011,"d_128",0,3871,0
"2011-06-06",11119,3,6,2011,"d_129",0,3056,1
"2011-06-07",11119,4,6,2011,"d_130",0,2763,1
"2011-06-08",11119,5,6,2011,"d_131",0,2884,1
"2011-06-09",11119,6,6,2011,"d_132",0,2787,1
"2011-06-10",11119,7,6,2011,"d_133",0,3420,1
"2011-06-11",11120,1,6,2011,"d_134",0,3588,0
"2011-06-12",11120,2,6,2011,"d_135",1,3569,0
"2011-06-13",11120,3,6,2011,"d_136",0,3149,1
"2011-06-14",11120,4,6,2011,"d_137",0,2894,1
"2011-06-15",11120,5,6,2011,"d_138",0,2679,1
"2011-06-16",11120,6,6,2011,"d_139",0,2535,1
"2011-06-17",11120,7,6,2011,"d_140",0,2971,1
"2011-06-18",11121,1,6,2011,"d_141",0,3896,0
"2011-06-19",11121,2,6,2011,"d_142",1,3109,0
"2011-06-20",11121,3,6,2011,"d_143",0,2848,1
"2011-06-21",11121,4,6,2011,"d_144",0,2936,1
"2011-06-22",11121,5,6,2011,"d_145",0,2557,1
"2011-06-23",11121,6,6,2011,"d_146",0,2624,1
"2011-06-24",11121,7,6,2011,"d_147",0,3071,1
"2011-06-25",11122,1,6,2011,"d_148",0,3354,0
"2011-06-26",11122,2,6,2011,"d_149",0,3672,0
