"date","wm_yr_wk","wday","month","year","d","evento","Vendas_do_dia","week_group"
"2011-01-29",11101,1,1,2011,"d_1",0,418,0
"2011-01-30",11101,2,1,2011,"d_2",0,372,0
"2011-01-31",11101,3,1,2011,"d_3",0,269,1
"2011-02-01",11101,4,2,2011,"d_4",0,276,1
"2011-02-02",11101,5,2,2011,"d_5",0,196,1
"2011-02-03",11101,6,2,2011,"d_6",0,256,1
"2011-02-04",11101,7,2,2011,"d_7",0,286,1
"2011-02-05",11102,1,2,2011,"d_8",0,431,0
"2011-02-06",11102,2,2,2011,"d_9",1,445,0
"2011-02-07",11102,3,2,2011,"d_10",0,356,1
"2011-02-08",11102,4,2,2011,"d_11",0,233,1
"2011-02-09",11102,5,2,2011,"d_12",0,261,1
"2011-02-10",11102,6,2,2011,"d_13",0,219,1
"2011-02-11",11102,7,2,2011,"d_14",0,284,1
"2011-02-12",11103,1,2,2011,"d_15",0,344,0
"2011-02-13",11103,2,2,2011,"d_16",0,491,0
"2011-02-14",11103,3,2,2011,"d_17",1,237,1
"2011-02-15",11103,4,2,2011,"d_18",0,295,1
"2011-02-16",11103,5,2,2011,"d_19",0,313,1
"2011-02-17",11103,6,2,2011,"d_20",0,286,1
"2011-02-18",11103,7,2,2011,"d_21",0,401,1
"2011-02-19",11104,1,2,2011,"d_22",0,528,0
"2011-02-20",11104,2,2,2011,"d_23",0,652,0
"2011-02-21",11104,3,2,2011,"d_24",1,384,1
"2011-02-22",11104,4,2,2011,"d_25",0,382,1
"2011-02-23",11104,5,2,2011,"d_26",0,341,1
"2011-02-24",11104,6,2,2011,"d_27",0,347,1
"2011-02-25",11104,7,2,2011,"d_28",0,296,1
"2011-02-26",11105,1,2,2011,"d_29",0,540,0
"2011-02-27",11105,2,2,2011,"d_30",0,530,0
"2011-02-28",11105,3,2,2011,"d_31",0,358,1
"2011-03-01",11105,4,3,2011,"d_32",0,305,1
"2011-03-02",11105,5,3,2011,"d_33",0,321,1
"2011-03-03",11105,6,3,2011,"d_34",0,299,1
"2011-03-04",11105,7,3,2011,"d_35",0,234,1
"2011-03-05",11106,1,3,2011,"d_36",0,419,0
"2011-03-06",11106,2,3,2011,"d_37",0,424,0
"2011-03-07",11106,3,3,2011,"d_38",0,315,1
"2011-03-08",11106,4,3,2011,"d_39",0,221,1
"2011-03-09",11106,5,3,2011,"d_40",1,241,1
"2011-03-10",11106,6,3,2011,"d_41",0,256,1
"2011-03-11",11106,7,3,2011,"d_42",0,318,1
"2011-03-12",11107,1,3,2011,"d_43",0,413,0
"2011-03-13",11107,2,3,2011,"d_44",0,359,0
"2011-03-14",11107,3,3,2011,"d_45",0,372,1
"2011-03-15",11107,4,3,2011,"d_46",0,337,1
"2011-03-16",11107,5,3,2011,"d_47",1,270,1
"2011-03-17",11107,6,3,2011,"d_48",1,356,1
"2011-03-18",11107,7,3,2011,"d_49",0,342,1
"2011-03-19",11108,1,3,2011,"d_50",0,411,0
"2011-03-20",11108,2,3,2011,"d_51",1,487,0
"2011-03-21",11108,3,3,2011,"d_52",0,405,1
"2011-03-22",11108,4,3,2011,"d_53",0,336,1
"2011-03-23",11108,5,3,2011,"d_54",0,291,1
"2011-03-24",11108,6,3,2011,"d_55",0,284,1
"2011-03-25",11108,7,3,2011,"d_56",0,360,1
"2011-03-26",11109,1,3,2011,"d_57",0,393,0
"2011-03-27",11109,2,3,2011,"d_58",0,476,0
"2011-03-28",11109,3,3,2011,"d_59",0,315,1
"2011-03-29",11109,4,3,2011,"d_60",0,259,1
"2011-03-30",11109,5,3,2011,"d_61",0,265,1
"2011-03-31",11109,6,3,2011,"d_62",0,258,1
"2011-04-01",11109,7,4,2011,"d_63",0,397,1
"2011-04-02",11110,1,4,2011,"d_64",0,451,0
"2011-04-03",11110,2,4,2011,"d_65",0,456,0
"2011-04-04",11110,3,4,2011,"d_66",0,280,1
"2011-04-05",11110,4,4,2011,"d_67",0,265,1
"2011-04-06",11110,5,4,2011,"d_68",0,207,1
"2011-04-07",11110,6,4,2011,"d_69",0,246,1
"2011-04-08",11110,7,4,2011,"d_70",0,348,1
"2011-04-09",11111,1,4,2011,"d_71",0,423,0
"2011-04-10",11111,2,4,2011,"d_72",0,445,0
"2011-04-11",11111,3,4,2011,"d_73",0,291,1
"2011-04-12",11111,4,4,2011,"d_74",0,226,1
"2011-04-13",11111,5,4,2011,"d_75",0,280,1
"2011-04-14",11111,6,4,2011,"d_76",0,252,1
"2011-04-15",11111,7,4,2011,"d_77",0,416,1
"2011-04-16",11112,1,4,2011,"d_78",0,377,0
"2011-04-17",11112,2,4,2011,"d_79",0,417,0
"2011-04-18",11112,3,4,2011,"d_80",0,317,1
"2011-04-19",11112,4,4,2011,"d_81",0,278,1
"2011-04-20",11112,5,4,2011,"d_82",0,296,1
"2011-04-21",11112,6,4,2011,"d_83",0,269,1
"2011-04-22",11112,7,4,2011,"d_84",0,305,1
"2011-04-23",11113,1,4,2011,"d_85",0,321,0
"2011-04-24",11113,2,4,2011,"d_86",1,365,0
"2011-04-25",11113,3,4,2011,"d_87",0,308,1
"2011-04-26",11113,4,4,2011,"d_88",1,276,1
"2011-04-27",11113,5,4,2011,"d_89",0,272,1
